evidence_id,txn_id,date,from_account,to_account,amount,ifsc,case_id,unique_nonce
E-165,TXN165-0000-96612515,2026-02-10,50100612515,50200612515,12515,SBIN0001234,case-018-demo,E-165-0
E-165,TXN165-0001-96612515,2026-02-11,50100612516,50200612516,13015,SBIN0001234,case-018-demo,E-165-1
E-165,TXN165-0002-96612515,2026-02-12,50100612517,50200612517,13515,SBIN0001234,case-018-demo,E-165-2
E-165,TXN165-0003-96612515,2026-02-13,50100612518,50200612518,14015,SBIN0001234,case-018-demo,E-165-3
E-165,TXN165-0004-96612515,2026-02-14,50100612519,50200612519,14515,SBIN0001234,case-018-demo,E-165-4
E-165,TXN165-0005-96612515,2026-02-15,50100612520,50200612520,15015,SBIN0001234,case-018-demo,E-165-5
E-165,TXN165-0006-96612515,2026-02-16,50100612521,50200612521,15515,SBIN0001234,case-018-demo,E-165-6
E-165,TXN165-0007-96612515,2026-02-17,50100612522,50200612522,16015,SBIN0001234,case-018-demo,E-165-7
E-165,TXN165-0008-96612515,2026-02-18,50100612523,50200612523,16515,SBIN0001234,case-018-demo,E-165-8
E-165,TXN165-0009-96612515,2026-02-19,50100612524,50200612524,17015,SBIN0001234,case-018-demo,E-165-9
E-165,TXN165-0010-96612515,2026-02-20,50100612525,50200612525,17515,SBIN0001234,case-018-demo,E-165-10
E-165,TXN165-0011-96612515,2026-02-21,50100612526,50200612526,18015,SBIN0001234,case-018-demo,E-165-11
E-165,TXN165-0012-96612515,2026-02-22,50100612527,50200612527,18515,SBIN0001234,case-018-demo,E-165-12
E-165,TXN165-0013-96612515,2026-02-23,50100612528,50200612528,19015,SBIN0001234,case-018-demo,E-165-13
E-165,TXN165-0014-96612515,2026-02-24,50100612529,50200612529,19515,SBIN0001234,case-018-demo,E-165-14
