evidence_id,calling_number,called_number,timestamp,duration_seconds,direction,case_id,unique_nonce
E-240,+919814798077,+919814798082,2026-02-10T14:32:00Z,137,OUTGOING,case-018-demo,E-240-0-14798077
E-240,+919814798078,+919814798083,2026-02-11T14:32:00Z,147,OUTGOING,case-018-demo,E-240-1-14798077
E-240,+919814798079,+919814798084,2026-02-12T14:32:00Z,157,OUTGOING,case-018-demo,E-240-2-14798077
E-240,+919814798080,+919814798085,2026-02-13T14:32:00Z,167,OUTGOING,case-018-demo,E-240-3-14798077
E-240,+919814798081,+919814798086,2026-02-14T14:32:00Z,177,OUTGOING,case-018-demo,E-240-4-14798077
E-240,+919814798082,+919814798087,2026-02-15T14:32:00Z,187,OUTGOING,case-018-demo,E-240-5-14798077
E-240,+919814798083,+919814798088,2026-02-16T14:32:00Z,197,OUTGOING,case-018-demo,E-240-6-14798077
E-240,+919814798084,+919814798089,2026-02-17T14:32:00Z,207,OUTGOING,case-018-demo,E-240-7-14798077
E-240,+919814798085,+919814798090,2026-02-18T14:32:00Z,217,OUTGOING,case-018-demo,E-240-8-14798077
E-240,+919814798086,+919814798091,2026-02-19T14:32:00Z,227,OUTGOING,case-018-demo,E-240-9-14798077
