evidence_id,calling_number,called_number,timestamp,duration_seconds,direction,case_id,unique_nonce
E-080,+919819880139,+919819880144,2026-02-10T14:32:00Z,99,OUTGOING,case-008-demo,E-080-0-19880139
E-080,+919819880140,+919819880145,2026-02-11T14:32:00Z,109,OUTGOING,case-008-demo,E-080-1-19880139
E-080,+919819880141,+919819880146,2026-02-12T14:32:00Z,119,OUTGOING,case-008-demo,E-080-2-19880139
E-080,+919819880142,+919819880147,2026-02-13T14:32:00Z,129,OUTGOING,case-008-demo,E-080-3-19880139
E-080,+919819880143,+919819880148,2026-02-14T14:32:00Z,139,OUTGOING,case-008-demo,E-080-4-19880139
E-080,+919819880144,+919819880149,2026-02-15T14:32:00Z,149,OUTGOING,case-008-demo,E-080-5-19880139
E-080,+919819880145,+919819880150,2026-02-16T14:32:00Z,159,OUTGOING,case-008-demo,E-080-6-19880139
E-080,+919819880146,+919819880151,2026-02-17T14:32:00Z,169,OUTGOING,case-008-demo,E-080-7-19880139
E-080,+919819880147,+919819880152,2026-02-18T14:32:00Z,179,OUTGOING,case-008-demo,E-080-8-19880139
E-080,+919819880148,+919819880153,2026-02-19T14:32:00Z,189,OUTGOING,case-008-demo,E-080-9-19880139
