evidence_id,txn_id,date,from_account,to_account,amount,ifsc,case_id,unique_nonce
E-095,TXN095-0000-68510548,2026-02-10,50100510548,50200510548,10548,SBIN0001234,case-010-demo,E-095-0
E-095,TXN095-0001-68510548,2026-02-11,50100510549,50200510549,11048,SBIN0001234,case-010-demo,E-095-1
E-095,TXN095-0002-68510548,2026-02-12,50100510550,50200510550,11548,SBIN0001234,case-010-demo,E-095-2
E-095,TXN095-0003-68510548,2026-02-13,50100510551,50200510551,12048,SBIN0001234,case-010-demo,E-095-3
E-095,TXN095-0004-68510548,2026-02-14,50100510552,50200510552,12548,SBIN0001234,case-010-demo,E-095-4
E-095,TXN095-0005-68510548,2026-02-15,50100510553,50200510553,13048,SBIN0001234,case-010-demo,E-095-5
E-095,TXN095-0006-68510548,2026-02-16,50100510554,50200510554,13548,SBIN0001234,case-010-demo,E-095-6
E-095,TXN095-0007-68510548,2026-02-17,50100510555,50200510555,14048,SBIN0001234,case-010-demo,E-095-7
E-095,TXN095-0008-68510548,2026-02-18,50100510556,50200510556,14548,SBIN0001234,case-010-demo,E-095-8
E-095,TXN095-0009-68510548,2026-02-19,50100510557,50200510557,15048,SBIN0001234,case-010-demo,E-095-9
E-095,TXN095-0010-68510548,2026-02-20,50100510558,50200510558,15548,SBIN0001234,case-010-demo,E-095-10
E-095,TXN095-0011-68510548,2026-02-21,50100510559,50200510559,16048,SBIN0001234,case-010-demo,E-095-11
E-095,TXN095-0012-68510548,2026-02-22,50100510560,50200510560,16548,SBIN0001234,case-010-demo,E-095-12
E-095,TXN095-0013-68510548,2026-02-23,50100510561,50200510561,17048,SBIN0001234,case-010-demo,E-095-13
E-095,TXN095-0014-68510548,2026-02-24,50100510562,50200510562,17548,SBIN0001234,case-010-demo,E-095-14
