cluster_id,canonical_person_id,record_id,surface_name,same_person,distinguishing_evidence
CL_PERSON_00001_0,PERSON_00001,PERSON_00001,Vikas Sahu,same_person,
CL_PERSON_00002_0,PERSON_00002,PERSON_00002,Mahesh Mehta,same_person,
CL_PERSON_00003_0,PERSON_00003,PERSON_00003,Anup Dutta,same_person,
CL_PERSON_00004_0,PERSON_00004,PERSON_00004,Pooja Parmar,same_person,
CL_PERSON_00005_0,PERSON_00005,PERSON_00005,Arindam Sen,same_person,
CL_PERSON_00006_0,PERSON_00006,PERSON_00006,Sunil Sharma,same_person,
CL_PERSON_00007_0,PERSON_00007,PERSON_00007,Meera Kurian,same_person,
CL_PERSON_00008_0,PERSON_00008,PERSON_00008,Meera Mathew,same_person,
CL_PERSON_00009_0,PERSON_00009,PERSON_00009,Nitin Pawar,same_person,
CL_PERSON_00010_0,PERSON_00010,PERSON_00010,Harish Varma,same_person,
CL_PERSON_00011_0,PERSON_00011,PERSON_00011,Rajesh Iyer,same_person,
CL_PERSON_00012_0,PERSON_00012,PERSON_00012,Manjunath Naik,same_person,
CL_PERSON_00013_0,PERSON_00013,PERSON_00013,Pooja Patel,same_person,
CL_PERSON_00014_0,PERSON_00014,PERSON_00014,Harish Rao,same_person,
CL_PERSON_00015_0,PERSON_00015,PERSON_00015,Ramesh Babu,same_person,
CL_PERSON_00016_0,PERSON_00016,PERSON_00016,Vikas Mishra,same_person,
CL_PERSON_00017_0,PERSON_00017,PERSON_00017,Rakesh Singh,same_person,
CL_PERSON_00018_0,PERSON_00018,PERSON_00018,Amit Banerjee,same_person,
CL_PERSON_00019_0,PERSON_00019,PERSON_00019,Dinesh Kumar,same_person,
CL_PERSON_00020_0,PERSON_00020,PERSON_00020,Mahesh Shah,same_person,
CL_PERSON_00021_0,PERSON_00021,PERSON_00021,Amit Verma,same_person,
CL_PERSON_00022_0,PERSON_00022,PERSON_00022,Amit Jha,same_person,
CL_PERSON_00023_0,PERSON_00023,PERSON_00023,Prakash Shetty,same_person,
CL_PERSON_00024_0,PERSON_00024,PERSON_00024,Karthik Kumar,same_person,
CL_PERSON_00025_0,PERSON_00025,PERSON_00025,Ajay Kumar,same_person,
