evidence_id,txn_id,date,from_account,to_account,amount,ifsc,case_id,unique_nonce
E-295,TXN295-0000-12597375,2026-02-10,50100597375,50200597375,12375,SBIN0001234,case-016-demo,E-295-0
E-295,TXN295-0001-12597375,2026-02-11,50100597376,50200597376,12875,SBIN0001234,case-016-demo,E-295-1
E-295,TXN295-0002-12597375,2026-02-12,50100597377,50200597377,13375,SBIN0001234,case-016-demo,E-295-2
E-295,TXN295-0003-12597375,2026-02-13,50100597378,50200597378,13875,SBIN0001234,case-016-demo,E-295-3
E-295,TXN295-0004-12597375,2026-02-14,50100597379,50200597379,14375,SBIN0001234,case-016-demo,E-295-4
E-295,TXN295-0005-12597375,2026-02-15,50100597380,50200597380,14875,SBIN0001234,case-016-demo,E-295-5
E-295,TXN295-0006-12597375,2026-02-16,50100597381,50200597381,15375,SBIN0001234,case-016-demo,E-295-6
E-295,TXN295-0007-12597375,2026-02-17,50100597382,50200597382,15875,SBIN0001234,case-016-demo,E-295-7
E-295,TXN295-0008-12597375,2026-02-18,50100597383,50200597383,16375,SBIN0001234,case-016-demo,E-295-8
E-295,TXN295-0009-12597375,2026-02-19,50100597384,50200597384,16875,SBIN0001234,case-016-demo,E-295-9
E-295,TXN295-0010-12597375,2026-02-20,50100597385,50200597385,17375,SBIN0001234,case-016-demo,E-295-10
E-295,TXN295-0011-12597375,2026-02-21,50100597386,50200597386,17875,SBIN0001234,case-016-demo,E-295-11
E-295,TXN295-0012-12597375,2026-02-22,50100597387,50200597387,18375,SBIN0001234,case-016-demo,E-295-12
E-295,TXN295-0013-12597375,2026-02-23,50100597388,50200597388,18875,SBIN0001234,case-016-demo,E-295-13
E-295,TXN295-0014-12597375,2026-02-24,50100597389,50200597389,19375,SBIN0001234,case-016-demo,E-295-14
