evidence_id,txn_id,date,from_account,to_account,amount,ifsc,case_id,unique_nonce
E-245,TXN245-0000-69696729,2026-02-10,50100696729,50200696729,11729,SBIN0001234,case-012-demo,E-245-0
E-245,TXN245-0001-69696729,2026-02-11,50100696730,50200696730,12229,SBIN0001234,case-012-demo,E-245-1
E-245,TXN245-0002-69696729,2026-02-12,50100696731,50200696731,12729,SBIN0001234,case-012-demo,E-245-2
E-245,TXN245-0003-69696729,2026-02-13,50100696732,50200696732,13229,SBIN0001234,case-012-demo,E-245-3
E-245,TXN245-0004-69696729,2026-02-14,50100696733,50200696733,13729,SBIN0001234,case-012-demo,E-245-4
E-245,TXN245-0005-69696729,2026-02-15,50100696734,50200696734,14229,SBIN0001234,case-012-demo,E-245-5
E-245,TXN245-0006-69696729,2026-02-16,50100696735,50200696735,14729,SBIN0001234,case-012-demo,E-245-6
E-245,TXN245-0007-69696729,2026-02-17,50100696736,50200696736,15229,SBIN0001234,case-012-demo,E-245-7
E-245,TXN245-0008-69696729,2026-02-18,50100696737,50200696737,15729,SBIN0001234,case-012-demo,E-245-8
E-245,TXN245-0009-69696729,2026-02-19,50100696738,50200696738,16229,SBIN0001234,case-012-demo,E-245-9
E-245,TXN245-0010-69696729,2026-02-20,50100696739,50200696739,16729,SBIN0001234,case-012-demo,E-245-10
E-245,TXN245-0011-69696729,2026-02-21,50100696740,50200696740,17229,SBIN0001234,case-012-demo,E-245-11
E-245,TXN245-0012-69696729,2026-02-22,50100696741,50200696741,17729,SBIN0001234,case-012-demo,E-245-12
E-245,TXN245-0013-69696729,2026-02-23,50100696742,50200696742,18229,SBIN0001234,case-012-demo,E-245-13
E-245,TXN245-0014-69696729,2026-02-24,50100696743,50200696743,18729,SBIN0001234,case-012-demo,E-245-14
