evidence_id,calling_number,called_number,timestamp,duration_seconds,direction,case_id,unique_nonce
E-090,+919816526802,+919816526807,2026-02-10T14:32:00Z,62,OUTGOING,case-010-demo,E-090-0-16526802
E-090,+919816526803,+919816526808,2026-02-11T14:32:00Z,72,OUTGOING,case-010-demo,E-090-1-16526802
E-090,+919816526804,+919816526809,2026-02-12T14:32:00Z,82,OUTGOING,case-010-demo,E-090-2-16526802
E-090,+919816526805,+919816526810,2026-02-13T14:32:00Z,92,OUTGOING,case-010-demo,E-090-3-16526802
E-090,+919816526806,+919816526811,2026-02-14T14:32:00Z,102,OUTGOING,case-010-demo,E-090-4-16526802
E-090,+919816526807,+919816526812,2026-02-15T14:32:00Z,112,OUTGOING,case-010-demo,E-090-5-16526802
E-090,+919816526808,+919816526813,2026-02-16T14:32:00Z,122,OUTGOING,case-010-demo,E-090-6-16526802
E-090,+919816526809,+919816526814,2026-02-17T14:32:00Z,132,OUTGOING,case-010-demo,E-090-7-16526802
E-090,+919816526810,+919816526815,2026-02-18T14:32:00Z,142,OUTGOING,case-010-demo,E-090-8-16526802
E-090,+919816526811,+919816526816,2026-02-19T14:32:00Z,152,OUTGOING,case-010-demo,E-090-9-16526802
