evidence_id,calling_number,called_number,timestamp,duration_seconds,direction,case_id,unique_nonce
E-150,+919882714433,+919882714438,2026-02-10T14:32:00Z,93,OUTGOING,case-014-demo,E-150-0-82714433
E-150,+919882714434,+919882714439,2026-02-11T14:32:00Z,103,OUTGOING,case-014-demo,E-150-1-82714433
E-150,+919882714435,+919882714440,2026-02-12T14:32:00Z,113,OUTGOING,case-014-demo,E-150-2-82714433
E-150,+919882714436,+919882714441,2026-02-13T14:32:00Z,123,OUTGOING,case-014-demo,E-150-3-82714433
E-150,+919882714437,+919882714442,2026-02-14T14:32:00Z,133,OUTGOING,case-014-demo,E-150-4-82714433
E-150,+919882714438,+919882714443,2026-02-15T14:32:00Z,143,OUTGOING,case-014-demo,E-150-5-82714433
E-150,+919882714439,+919882714444,2026-02-16T14:32:00Z,153,OUTGOING,case-014-demo,E-150-6-82714433
E-150,+919882714440,+919882714445,2026-02-17T14:32:00Z,163,OUTGOING,case-014-demo,E-150-7-82714433
E-150,+919882714441,+919882714446,2026-02-18T14:32:00Z,173,OUTGOING,case-014-demo,E-150-8-82714433
E-150,+919882714442,+919882714447,2026-02-19T14:32:00Z,183,OUTGOING,case-014-demo,E-150-9-82714433
