evidence_id,calling_number,called_number,timestamp,duration_seconds,direction,case_id,unique_nonce
E-060,+919893512243,+919893512248,2026-02-10T14:32:00Z,103,OUTGOING,case-007-demo,E-060-0-93512243
E-060,+919893512244,+919893512249,2026-02-11T14:32:00Z,113,OUTGOING,case-007-demo,E-060-1-93512243
E-060,+919893512245,+919893512250,2026-02-12T14:32:00Z,123,OUTGOING,case-007-demo,E-060-2-93512243
E-060,+919893512246,+919893512251,2026-02-13T14:32:00Z,133,OUTGOING,case-007-demo,E-060-3-93512243
E-060,+919893512247,+919893512252,2026-02-14T14:32:00Z,143,OUTGOING,case-007-demo,E-060-4-93512243
E-060,+919893512248,+919893512253,2026-02-15T14:32:00Z,153,OUTGOING,case-007-demo,E-060-5-93512243
E-060,+919893512249,+919893512254,2026-02-16T14:32:00Z,163,OUTGOING,case-007-demo,E-060-6-93512243
E-060,+919893512250,+919893512255,2026-02-17T14:32:00Z,173,OUTGOING,case-007-demo,E-060-7-93512243
E-060,+919893512251,+919893512256,2026-02-18T14:32:00Z,183,OUTGOING,case-007-demo,E-060-8-93512243
E-060,+919893512252,+919893512257,2026-02-19T14:32:00Z,193,OUTGOING,case-007-demo,E-060-9-93512243
