evidence_id,calling_number,called_number,timestamp,duration_seconds,direction,case_id,unique_nonce
E-100,+919893775372,+919893775377,2026-02-10T14:32:00Z,132,OUTGOING,case-010-demo,E-100-0-93775372
E-100,+919893775373,+919893775378,2026-02-11T14:32:00Z,142,OUTGOING,case-010-demo,E-100-1-93775372
E-100,+919893775374,+919893775379,2026-02-12T14:32:00Z,152,OUTGOING,case-010-demo,E-100-2-93775372
E-100,+919893775375,+919893775380,2026-02-13T14:32:00Z,162,OUTGOING,case-010-demo,E-100-3-93775372
E-100,+919893775376,+919893775381,2026-02-14T14:32:00Z,172,OUTGOING,case-010-demo,E-100-4-93775372
E-100,+919893775377,+919893775382,2026-02-15T14:32:00Z,182,OUTGOING,case-010-demo,E-100-5-93775372
E-100,+919893775378,+919893775383,2026-02-16T14:32:00Z,192,OUTGOING,case-010-demo,E-100-6-93775372
E-100,+919893775379,+919893775384,2026-02-17T14:32:00Z,202,OUTGOING,case-010-demo,E-100-7-93775372
E-100,+919893775380,+919893775385,2026-02-18T14:32:00Z,212,OUTGOING,case-010-demo,E-100-8-93775372
E-100,+919893775381,+919893775386,2026-02-19T14:32:00Z,222,OUTGOING,case-010-demo,E-100-9-93775372
