call_id,caller_number,callee_number,timestamp,duration_s,call_type,cell_id,imei,record_nonce
CDR00082-000,+919000011234,+919000007535,2025-01-03T02:34:00+00:00,116,SMS,CELL-0002,IMEI123456789012427,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv
CDR00082-001,+919000011371,+919000010001,2025-01-03T03:11:00+00:00,139,MISSED,CELL-0003,IMEI123456789012428,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv
CDR00082-002,+919000011508,+919000000274,2025-01-03T03:48:00+00:00,162,VOICE,CELL-0004,IMEI123456789012429,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv
CDR00082-003,+919000011645,+919000002740,2025-01-03T04:25:00+00:00,185,SMS,CELL-0005,IMEI123456789012430,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv
CDR00082-004,+919000011782,+919000005206,2025-01-03T05:02:00+00:00,208,MISSED,CELL-0006,IMEI123456789012431,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv
CDR00082-005,+919000011919,+919000007672,2025-01-03T05:39:00+00:00,231,VOICE,CELL-0007,IMEI123456789012432,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv
CDR00082-006,+919000012056,+919000010138,2025-01-03T06:16:00+00:00,254,SMS,CELL-0008,IMEI123456789012433,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv
CDR00082-007,+919000012193,+919000000411,2025-01-03T06:53:00+00:00,277,MISSED,CELL-0009,IMEI123456789012434,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv
CDR00082-008,+919000000000,+919000002877,2025-01-03T07:30:00+00:00,300,VOICE,CELL-0010,IMEI123456789012435,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv
CDR00082-009,+919000000137,+919000005343,2025-01-03T08:07:00+00:00,323,SMS,CELL-0011,IMEI123456789012436,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv
CDR00082-010,+919000000274,+919000007809,2025-01-03T08:44:00+00:00,346,MISSED,CELL-0012,IMEI123456789012437,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv
CDR00082-011,+919000000411,+919000010275,2025-01-03T09:21:00+00:00,369,VOICE,CELL-0013,IMEI123456789012438,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv
CDR00082-012,+919000000548,+919000000411,2025-01-03T09:58:00+00:00,392,SMS,CELL-0014,IMEI123456789012439,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv
CDR00082-013,+919000000685,+919000003014,2025-01-03T10:35:00+00:00,415,MISSED,CELL-0015,IMEI123456789012440,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv
CDR00082-014,+919000000822,+919000005480,2025-01-03T11:12:00+00:00,438,VOICE,CELL-0016,IMEI123456789012441,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv
CDR00082-015,+919000000959,+919000007946,2025-01-03T11:49:00+00:00,461,SMS,CELL-0017,IMEI123456789012442,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv
CDR00082-016,+919000001096,+919000010412,2025-01-03T12:26:00+00:00,484,MISSED,CELL-0018,IMEI123456789012443,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv
CDR00082-017,+919000001233,+919000000548,2025-01-03T13:03:00+00:00,507,VOICE,CELL-0019,IMEI123456789012444,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv
CDR00082-018,+919000001370,+919000003151,2025-01-03T13:40:00+00:00,530,SMS,CELL-0000,IMEI123456789012445,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv
CDR00082-019,+919000001507,+919000005617,2025-01-03T14:17:00+00:00,553,MISSED,CELL-0001,IMEI123456789012446,E-0082|CR-2007|evidence/CR-2007/CR-2007_CDR_11.csv

# CrimeLink Demo Dataset v2 — SYNTHETIC data. Not real records.
