evidence_id,calling_number,called_number,timestamp,duration_seconds,direction,case_id,unique_nonce
E-200,+919850915391,+919850915396,2026-02-10T14:32:00Z,151,OUTGOING,case-020-demo,E-200-0-50915391
E-200,+919850915392,+919850915397,2026-02-11T14:32:00Z,161,OUTGOING,case-020-demo,E-200-1-50915391
E-200,+919850915393,+919850915398,2026-02-12T14:32:00Z,171,OUTGOING,case-020-demo,E-200-2-50915391
E-200,+919850915394,+919850915399,2026-02-13T14:32:00Z,181,OUTGOING,case-020-demo,E-200-3-50915391
E-200,+919850915395,+919850915400,2026-02-14T14:32:00Z,191,OUTGOING,case-020-demo,E-200-4-50915391
E-200,+919850915396,+919850915401,2026-02-15T14:32:00Z,201,OUTGOING,case-020-demo,E-200-5-50915391
E-200,+919850915397,+919850915402,2026-02-16T14:32:00Z,211,OUTGOING,case-020-demo,E-200-6-50915391
E-200,+919850915398,+919850915403,2026-02-17T14:32:00Z,221,OUTGOING,case-020-demo,E-200-7-50915391
E-200,+919850915399,+919850915404,2026-02-18T14:32:00Z,231,OUTGOING,case-020-demo,E-200-8-50915391
E-200,+919850915400,+919850915405,2026-02-19T14:32:00Z,241,OUTGOING,case-020-demo,E-200-9-50915391
