evidence_id,calling_number,called_number,timestamp,duration_seconds,direction,case_id,unique_nonce
E-030,+919825983094,+919825983099,2026-02-10T14:32:00Z,154,OUTGOING,case-004-demo,E-030-0-25983094
E-030,+919825983095,+919825983100,2026-02-11T14:32:00Z,164,OUTGOING,case-004-demo,E-030-1-25983094
E-030,+919825983096,+919825983101,2026-02-12T14:32:00Z,174,OUTGOING,case-004-demo,E-030-2-25983094
E-030,+919825983097,+919825983102,2026-02-13T14:32:00Z,184,OUTGOING,case-004-demo,E-030-3-25983094
E-030,+919825983098,+919825983103,2026-02-14T14:32:00Z,194,OUTGOING,case-004-demo,E-030-4-25983094
E-030,+919825983099,+919825983104,2026-02-15T14:32:00Z,204,OUTGOING,case-004-demo,E-030-5-25983094
E-030,+919825983100,+919825983105,2026-02-16T14:32:00Z,214,OUTGOING,case-004-demo,E-030-6-25983094
E-030,+919825983101,+919825983106,2026-02-17T14:32:00Z,224,OUTGOING,case-004-demo,E-030-7-25983094
E-030,+919825983102,+919825983107,2026-02-18T14:32:00Z,234,OUTGOING,case-004-demo,E-030-8-25983094
E-030,+919825983103,+919825983108,2026-02-19T14:32:00Z,244,OUTGOING,case-004-demo,E-030-9-25983094
