evidence_id,calling_number,called_number,timestamp,duration_seconds,direction,case_id,unique_nonce
E-070,+919858124672,+919858124677,2026-02-10T14:32:00Z,132,OUTGOING,case-008-demo,E-070-0-58124672
E-070,+919858124673,+919858124678,2026-02-11T14:32:00Z,142,OUTGOING,case-008-demo,E-070-1-58124672
E-070,+919858124674,+919858124679,2026-02-12T14:32:00Z,152,OUTGOING,case-008-demo,E-070-2-58124672
E-070,+919858124675,+919858124680,2026-02-13T14:32:00Z,162,OUTGOING,case-008-demo,E-070-3-58124672
E-070,+919858124676,+919858124681,2026-02-14T14:32:00Z,172,OUTGOING,case-008-demo,E-070-4-58124672
E-070,+919858124677,+919858124682,2026-02-15T14:32:00Z,182,OUTGOING,case-008-demo,E-070-5-58124672
E-070,+919858124678,+919858124683,2026-02-16T14:32:00Z,192,OUTGOING,case-008-demo,E-070-6-58124672
E-070,+919858124679,+919858124684,2026-02-17T14:32:00Z,202,OUTGOING,case-008-demo,E-070-7-58124672
E-070,+919858124680,+919858124685,2026-02-18T14:32:00Z,212,OUTGOING,case-008-demo,E-070-8-58124672
E-070,+919858124681,+919858124686,2026-02-19T14:32:00Z,222,OUTGOING,case-008-demo,E-070-9-58124672
